,Station,Lat,Lon,Year,Month,Max Temp,Min Temp,Air Frost,Total Rain,Total Sun
150,Aberporth,52.139,-4.57,1953.0,7.0,17.2,11.7,4.362686567164179,60.5,217.1
151,Aberporth,52.139,-4.57,1953.0,8.0,18.3,12.2,4.362686567164179,83.5,201.8
152,Aberporth,52.139,-4.57,1953.0,9.0,16.2,11.2,4.362686567164179,110.3,148.7
153,Aberporth,52.139,-4.57,1953.0,10.0,13.6,7.8,4.362686567164179,82.0,126.9
154,Aberporth,52.139,-4.57,1953.0,11.0,11.2,7.4,4.362686567164179,126.5,63.3
155,Aberporth,52.139,-4.57,1953.0,12.0,10.1,7.0,4.362686567164179,42.6,48.6
156,Aberporth,52.139,-4.57,1954.0,1.0,6.3,2.9,4.362686567164179,78.6,69.3
157,Aberporth,52.139,-4.57,1954.0,2.0,6.4,1.5,4.362686567164179,72.8,93.0
158,Aberporth,52.139,-4.57,1954.0,3.0,9.1,3.8,4.362686567164179,83.2,134.8
159,Aberporth,52.139,-4.57,1954.0,4.0,11.3,4.2,4.362686567164179,21.7,237.0
160,Aberporth,52.139,-4.57,1954.0,5.0,13.3,7.6,4.362686567164179,83.4,160.7
161,Aberporth,52.139,-4.57,1954.0,6.0,15.3,9.7,4.362686567164179,86.2,181.9
162,Aberporth,52.139,-4.57,1954.0,7.0,15.8,11.1,4.362686567164179,64.2,126.3
163,Aberporth,52.139,-4.57,1954.0,8.0,16.1,11.2,4.362686567164179,83.4,149.7
164,Aberporth,52.139,-4.57,1954.0,9.0,15.3,10.2,4.362686567164179,90.1,171.7
165,Aberporth,52.139,-4.57,1954.0,10.0,14.1,10.3,4.362686567164179,189.1,55.0
166,Aberporth,52.139,-4.57,1954.0,11.0,10.4,5.9,4.362686567164179,232.3,58.4
167,Aberporth,52.139,-4.57,1954.0,12.0,9.2,6.2,4.362686567164179,102.2,42.5
168,Aberporth,52.139,-4.57,1955.0,1.0,6.1,2.4,4.362686567164179,70.2,46.7
169,Aberporth,52.139,-4.57,1955.0,2.0,4.6,0.2,4.362686567164179,48.6,88.1
170,Aberporth,52.139,-4.57,1955.0,3.0,6.9,0.5,4.362686567164179,83.5,195.8
171,Aberporth,52.139,-4.57,1955.0,4.0,11.9,5.4,4.362686567164179,59.9,186.3
172,Aberporth,52.139,-4.57,1955.0,5.0,12.6,6.9,4.362686567164179,70.1,207.6
173,Aberporth,52.139,-4.57,1955.0,6.0,16.5,10.9,4.362686567164179,94.1,189.3
174,Aberporth,52.139,-4.57,1955.0,7.0,19.2,11.6,4.362686567164179,14.7,342.1
175,Aberporth,52.139,-4.57,1955.0,8.0,21.3,14.0,4.362686567164179,29.9,240.6
176,Aberporth,52.139,-4.57,1955.0,9.0,17.2,11.6,4.362686567164179,58.9,170.6
177,Aberporth,52.139,-4.57,1955.0,10.0,12.9,8.0,4.362686567164179,72.0,122.4
178,Aberporth,52.139,-4.57,1955.0,11.0,10.3,5.2,4.362686567164179,55.7,94.2
179,Aberporth,52.139,-4.57,1955.0,12.0,9.1,5.6,4.362686567164179,130.2,35.7
180,Aberporth,52.139,-4.57,1956.0,1.0,7.1,3.6,4.362686567164179,102.0,52.3
181,Aberporth,52.139,-4.57,1956.0,2.0,3.4,-1.8,4.362686567164179,18.9,113.4
